Timestamp,What is your primary job role/category?,"If comfortable, please specify your exact job title (Optional):",What industry/sector do you work in?,Company size (number of employees),How many years of work experience do you have?,Work arrangement,What type of computer do you primarily use for work?,RAM (Memory) capacity,Processor (CPU) brand,Processor performance tier (if known),"Specific processor model (Optional - Example: Intel Core i7-13700K, AMD Ryzen 7 5800X, Apple M2):",Number of CPU cores,Processor base speed (GHz),Primary storage type,Total storage capacity,Graphics card (GPU) type,"If you have a dedicated graphics card, specify the model (Optional - Example: NVIDIA RTX 4060, AMD Radeon RX 7600):",Graphics card memory (VRAM),Operating system,Screen size (for laptops/all-in-ones),Do you use multiple monitors?,What software/applications do you use regularly?,What is the typical size of files you work with?,What is your budget for a PC?,Primary work activities,How many hours per day do you use your PC for work?,Do you run multiple applications simultaneously?,Rate the intensity of your typical workload:,Is your current PC sufficient for your work requirements?,What performance issues do you experience?,How often does your PC slow down or struggle during work?,Do you experience power interruptions at your location?,Do you use a UPS or generator?,What type of internet connection do you use for work?,"If you could upgrade your PC, what would you prioritize?",When was your current PC purchased or assigned to you?,PC form factor preference?,Portability requirement?,"Any additional comments about your PC specifications, work requirements, or suggestions for the PC recommendation system?"
05/05/2024 19:40:00,IT Support/Helpdesk,,Information Technology (IT),501-1000 (Large organization),4-6 years,Remote/Work from home,Standard Laptop,16 GB,AMD,"Mid-range (i5, Ryzen 5, M1/M2)",AMD Ryzen 5 5600,8 cores,3.0 GHz,SATA SSD (Slower SSD),256 GB,"Integrated graphics (Intel UHD, AMD Radeon)",,Shared,macOS,15 inches,Single monitor/screen only,"Active Directory, TeamViewer, Helpdesk software, Office 365",Small (Under 10 MB),"LKR 100,000 - 150,000","Remote support, ticketing, system troubleshooting",6-8 hours,Moderately (3-5 applications at a time),"3 - Moderate (programming, data analysis, photo editing)","Yes, fully meets my needs",Heating issues,Rarely (once a week or less),Never,Yes (Generator),Mobile broadband (4G/5G dongle),Faster processor,Less than 1 year ago,Gaming Laptop,Preferred portable but not critical,
09/24/2024 00:53:00,IT Support/Helpdesk,,Information Technology (IT),11-50 (Small to medium),10+ years,On-site (at campus/office),Standard Laptop,8 GB,AMD,"Mid-range (i5, Ryzen 5, M1/M2)",AMD Ryzen 5 5600,8 cores,3.0 GHz,NVMe SSD (Faster PCIe SSD),512 GB,"Integrated graphics (Intel UHD, AMD Radeon)",,Shared,Windows 11,13 inches,Dual monitors,"Active Directory, TeamViewer, Helpdesk software, Office 365",Small (Under 10 MB),"LKR 150,000 - 200,000","Remote support, ticketing, system troubleshooting",6-8 hours,Moderately (3-5 applications at a time),"3 - Moderate (programming, data analysis, photo editing)","Yes, fully meets my needs",RAM limitations,Rarely (once a week or less),Occasionally (1-2 hours/week),Yes (Generator),ADSL broadband,Faster processor,Less than 1 year ago,Windows Laptop,Preferred portable but not critical,
03/06/2024 04:25:00,IT Support/Helpdesk,,Information Technology (IT),1-10 (Small business/Startup),4-6 years,Hybrid,Budget Laptop,8 GB,Intel,"Mid-range (i5, Ryzen 5, M1/M2)",Intel Core i5-13400,8 cores,2.5 GHz,NVMe SSD (Faster PCIe SSD),256 GB,"Integrated graphics (Intel UHD, AMD Radeon)",,Shared,Windows 10,15 inches,Dual monitors,"Active Directory, TeamViewer, Helpdesk software, Office 365",Small (Under 10 MB),"LKR 150,000 - 200,000","Remote support, ticketing, system troubleshooting",6-8 hours,Moderately (3-5 applications at a time),"3 - Moderate (programming, data analysis, photo editing)",Partially (some tasks are slow or require workarounds),Heating issues,Occasionally (2-3 times per week),Never,Yes (UPS),Fiber broadband (University network),RAM upgrade,1-2 years ago,Gaming Laptop,"No, can be stationary",
08/18/2024 17:07:00,IT Support/Helpdesk,,Information Technology (IT),51-200 (Medium-sized business),Less than 1 year,Hybrid,Desktop PC (Standard),16 GB,AMD,"Mid-range (i5, Ryzen 5, M1/M2)",AMD Ryzen 5 5600,8 cores,3.0 GHz,NVMe SSD (Faster PCIe SSD),256 GB,"Integrated graphics (Intel UHD, AMD Radeon)",,Shared,Windows 11,24 inches (external monitor),Triple monitors,"Active Directory, TeamViewer, Helpdesk software, Office 365",Small (Under 10 MB),"LKR 150,000 - 200,000","Hardware maintenance, software installation, user training",6-8 hours,Moderately (3-5 applications at a time),"3 - Moderate (programming, data analysis, photo editing)",Partially (some tasks are slow or require workarounds),Slow rendering,Rarely (once a week or less),Frequently (3-4 hours/week),No (no backup power),ADSL broadband,Faster processor,1-2 years ago,Desktop PC (Tower/Standard),"No, can be stationary",
07/16/2024 05:34:00,IT Support/Helpdesk,,Information Technology (IT),1000+ (Enterprise),10+ years,On-site (at campus/office),Budget Laptop,16 GB,Intel,"Mid-range (i5, Ryzen 5, M1/M2)",Intel Core i5-13500H,6 cores,2.5 GHz,NVMe SSD (Faster PCIe SSD),256 GB,"Integrated graphics (Intel UHD, AMD Radeon)",,Shared,Windows 11 Home,17 inches,Dual monitors,"Active Directory, TeamViewer, Helpdesk software, Office 365",Small (Under 10 MB),"LKR 100,000 - 150,000","Hardware maintenance, software installation, user training",6-8 hours,Moderately (3-5 applications at a time),"3 - Moderate (programming, data analysis, photo editing)","Yes, fully meets my needs",Heating issues,Rarely (once a week or less),Occasionally (1-2 hours/week),Yes (Generator),Fiber broadband (University network),GPU upgrade,2-3 years ago,Gaming Laptop,"No, can be stationary",
05/05/2024 07:19:00,IT Support/Helpdesk,,Information Technology (IT),1000+ (Enterprise),1-3 years,Hybrid,Standard Laptop,8 GB,AMD,"Mid-range (i5, Ryzen 5, M1/M2)",AMD Ryzen 5 7600,8 cores,2.5 GHz,SATA SSD (Slower SSD),512 GB,"Integrated graphics (Intel UHD, AMD Radeon)",,Shared,Windows 11 Home,14 inches,Single monitor/screen only,"Active Directory, TeamViewer, Helpdesk software, Office 365",Small (Under 10 MB),"LKR 100,000 - 150,000","Remote support, ticketing, system troubleshooting",8-10 hours,Moderately (3-5 applications at a time),"3 - Moderate (programming, data analysis, photo editing)","Yes, fully meets my needs",Heating issues,Frequently (multiple times daily),Occasionally (1-2 hours/week),Yes (Generator),"Fiber broadband (SLT, Dialog Fiber, etc.)",RAM upgrade,2-3 years ago,Windows Laptop,Must be portable (travel frequently for work),
01/09/2025 21:09:00,IT Support/Helpdesk,,Information Technology (IT),51-200 (Medium-sized business),Less than 1 year,Hybrid,Desktop PC (Standard),8 GB,Intel,"Mid-range (i5, Ryzen 5, M1/M2)",Intel Core i5-13400,8 cores,2.5 GHz,SATA SSD (Slower SSD),256 GB,"Integrated graphics (Intel UHD, AMD Radeon)",,Shared,Windows 10,27 inches (external monitor),Dual monitors,"Active Directory, TeamViewer, Helpdesk software, Office 365",Small (Under 10 MB),"LKR 150,000 - 200,000","Remote support, ticketing, system troubleshooting",6-8 hours,Moderately (3-5 applications at a time),"3 - Moderate (programming, data analysis, photo editing)","Yes, fully meets my needs",Slow rendering,Rarely (once a week or less),Rarely (1-2 hours/month),Yes (UPS),ADSL broadband,Faster processor,More than 3 years ago,Desktop PC (Tower/Standard),Preferred portable but not critical,
06/27/2024 10:17:00,IT Support/Helpdesk,,Information Technology (IT),1000+ (Enterprise),7-10 years,On-site (at campus/office),Budget Laptop,8 GB,AMD,"Mid-range (i5, Ryzen 5, M1/M2)",AMD Ryzen 5 5600,8 cores,3.0 GHz,NVMe SSD (Faster PCIe SSD),512 GB,"Integrated graphics (Intel UHD, AMD Radeon)",,Shared,Windows 10,14 inches,Triple monitors,"Active Directory, TeamViewer, Helpdesk software, Office 365",Small (Under 10 MB),"LKR 100,000 - 150,000","Hardware maintenance, software installation, user training",6-8 hours,Moderately (3-5 applications at a time),"3 - Moderate (programming, data analysis, photo editing)",No (insufficient for my needs),RAM limitations,Rarely (once a week or less),Frequently (3-4 hours/week),No (no backup power),Fiber broadband (University network),Faster processor,1-2 years ago,Windows Laptop,"No, can be stationary",
10/04/2024 10:05:00,IT Support/Helpdesk,,Information Technology (IT),11-50 (Small to medium),7-10 years,Hybrid,Budget Laptop,8 GB,AMD,"Mid-range (i5, Ryzen 5, M1/M2)",AMD Ryzen 5 5600,6 cores,2.5 GHz,NVMe SSD (Faster PCIe SSD),512 GB,"Integrated graphics (Intel UHD, AMD Radeon)",,Shared,macOS,15 inches,Single monitor/screen only,"Active Directory, TeamViewer, Helpdesk software, Office 365",Small (Under 10 MB),"LKR 100,000 - 150,000","Hardware maintenance, software installation, user training",8-10 hours,Moderately (3-5 applications at a time),"3 - Moderate (programming, data analysis, photo editing)","Yes, fully meets my needs",Slow rendering,Frequently (multiple times daily),Occasionally (1-2 hours/week),Not needed,Fiber broadband (University network),Faster processor,More than 3 years ago,Gaming Laptop,Must be portable (travel frequently for work),
10/03/2024 07:58:00,IT Support/Helpdesk,,Information Technology (IT),11-50 (Small to medium),1-3 years,Hybrid,Desktop PC (Standard),16 GB,Intel,"Mid-range (i5, Ryzen 5, M1/M2)",Intel Core i5-13500H,8 cores,3.0 GHz,SATA SSD (Slower SSD),512 GB,"Integrated graphics (Intel UHD, AMD Radeon)",,Shared,Windows 11 Home,27 inches (external monitor),Dual monitors,"Active Directory, TeamViewer, Helpdesk software, Office 365",Small (Under 10 MB),"LKR 150,000 - 200,000","Remote support, ticketing, system troubleshooting",6-8 hours,Moderately (3-5 applications at a time),"3 - Moderate (programming, data analysis, photo editing)","Yes, fully meets my needs",Slow rendering,Rarely (once a week or less),Occasionally (1-2 hours/week),Not needed,"Fiber broadband (SLT, Dialog Fiber, etc.)",GPU upgrade,1-2 years ago,Desktop PC (Tower/Standard),"No, can be stationary",
04/26/2024 17:11:00,IT Support/Helpdesk,,Information Technology (IT),11-50 (Small to medium),10+ years,On-site (at campus/office),Standard Laptop,8 GB,Intel,"Mid-range (i5, Ryzen 5, M1/M2)",Intel Core i5-1235U,6 cores,3.0 GHz,SATA SSD (Slower SSD),256 GB,"Integrated graphics (Intel UHD, AMD Radeon)",,Shared,macOS,17 inches,Dual monitors,"Active Directory, TeamViewer, Helpdesk software, Office 365",Small (Under 10 MB),"LKR 150,000 - 200,000","Hardware maintenance, software installation, user training",6-8 hours,Moderately (3-5 applications at a time),"3 - Moderate (programming, data analysis, photo editing)","Yes, fully meets my needs",Slow rendering,Frequently (multiple times daily),Never,Yes (Generator),Mobile broadband (4G/5G dongle),Faster processor,More than 3 years ago,Windows Laptop,Preferred portable but not critical,
09/26/2024 09:37:00,IT Support/Helpdesk,,Information Technology (IT),1000+ (Enterprise),1-3 years,Remote/Work from home,Standard Laptop,8 GB,Intel,"Mid-range (i5, Ryzen 5, M1/M2)",Intel Core i5-1235U,6 cores,3.0 GHz,SATA SSD (Slower SSD),512 GB,"Integrated graphics (Intel UHD, AMD Radeon)",,Shared,Windows 11,14 inches,Single monitor/screen only,"Active Directory, TeamViewer, Helpdesk software, Office 365",Small (Under 10 MB),"LKR 150,000 - 200,000","Remote support, ticketing, system troubleshooting",8-10 hours,Moderately (3-5 applications at a time),"3 - Moderate (programming, data analysis, photo editing)",Partially (some tasks are slow or require workarounds),RAM limitations,Rarely (once a week or less),Rarely (1-2 hours/month),Yes (Generator),Mobile broadband (4G/5G dongle),Faster processor,More than 3 years ago,Windows Laptop,Preferred portable but not critical,
11/03/2024 22:25:00,IT Support/Helpdesk,,Information Technology (IT),501-1000 (Large organization),Less than 1 year,Hybrid,Standard Laptop,8 GB,AMD,"Mid-range (i5, Ryzen 5, M1/M2)",AMD Ryzen 5 7530U,8 cores,3.0 GHz,SATA SSD (Slower SSD),512 GB,"Integrated graphics (Intel UHD, AMD Radeon)",,Shared,Windows 10,13 inches,Single monitor/screen only,"Active Directory, TeamViewer, Helpdesk software, Office 365",Small (Under 10 MB),"LKR 100,000 - 150,000","Hardware maintenance, software installation, user training",6-8 hours,Moderately (3-5 applications at a time),"3 - Moderate (programming, data analysis, photo editing)",Partially (some tasks are slow or require workarounds),Slow rendering,Frequently (multiple times daily),Occasionally (1-2 hours/week),Not needed,Fiber broadband (University network),RAM upgrade,1-2 years ago,Windows Laptop,Preferred portable but not critical,
08/21/2024 00:12:00,IT Support/Helpdesk,,Information Technology (IT),11-50 (Small to medium),1-3 years,On-site (at campus/office),Standard Laptop,8 GB,Intel,"Mid-range (i5, Ryzen 5, M1/M2)",Intel Core i5-13400,6 cores,3.3 GHz,NVMe SSD (Faster PCIe SSD),256 GB,"Integrated graphics (Intel UHD, AMD Radeon)",,Shared,Windows 11,15 inches,Triple monitors,"Active Directory, TeamViewer, Helpdesk software, Office 365",Small (Under 10 MB),"LKR 150,000 - 200,000","Remote support, ticketing, system troubleshooting",8-10 hours,Moderately (3-5 applications at a time),"3 - Moderate (programming, data analysis, photo editing)","Yes, fully meets my needs",Heating issues,Never,Rarely (1-2 hours/month),Not needed,Fiber broadband (University network),GPU upgrade,Less than 1 year ago,Windows Laptop,Must be portable (travel frequently for work),
01/12/2025 13:07:00,IT Support/Helpdesk,,Information Technology (IT),201-500 (Large organization),Less than 1 year,Hybrid,Desktop PC (Standard),8 GB,AMD,"Mid-range (i5, Ryzen 5, M1/M2)",AMD Ryzen 5 7530U,6 cores,3.3 GHz,SATA SSD (Slower SSD),512 GB,"Integrated graphics (Intel UHD, AMD Radeon)",,Shared,macOS,24 inches (external monitor),Triple monitors,"Active Directory, TeamViewer, Helpdesk software, Office 365",Small (Under 10 MB),"LKR 100,000 - 150,000","Hardware maintenance, software installation, user training",6-8 hours,Moderately (3-5 applications at a time),"3 - Moderate (programming, data analysis, photo editing)",No (insufficient for my needs),Heating issues,Rarely (once a week or less),Rarely (1-2 hours/month),Yes (UPS),ADSL broadband,Faster processor,Less than 1 year ago,Desktop PC (Tower/Standard),"No, can be stationary",
12/11/2024 20:09:00,IT Support/Helpdesk,,Information Technology (IT),1000+ (Enterprise),Less than 1 year,Remote/Work from home,Budget Laptop,16 GB,AMD,"Mid-range (i5, Ryzen 5, M1/M2)",AMD Ryzen 5 5600,8 cores,3.3 GHz,SATA SSD (Slower SSD),512 GB,"Integrated graphics (Intel UHD, AMD Radeon)",,Shared,macOS,17 inches,Dual monitors,"Active Directory, TeamViewer, Helpdesk software, Office 365",Small (Under 10 MB),"LKR 100,000 - 150,000","Remote support, ticketing, system troubleshooting",6-8 hours,Moderately (3-5 applications at a time),"3 - Moderate (programming, data analysis, photo editing)",No (insufficient for my needs),Slow rendering,Never,Never,Yes (UPS),Mobile broadband (4G/5G dongle),RAM upgrade,1-2 years ago,Windows Laptop,Preferred portable but not critical,
03/17/2025 15:49:00,IT Support/Helpdesk,,Information Technology (IT),1000+ (Enterprise),1-3 years,Remote/Work from home,Budget Laptop,8 GB,Intel,"Mid-range (i5, Ryzen 5, M1/M2)",Intel Core i5-1235U,8 cores,2.5 GHz,NVMe SSD (Faster PCIe SSD),512 GB,"Integrated graphics (Intel UHD, AMD Radeon)",,Shared,macOS,17 inches,Single monitor/screen only,"Active Directory, TeamViewer, Helpdesk software, Office 365",Small (Under 10 MB),"LKR 100,000 - 150,000","Remote support, ticketing, system troubleshooting",6-8 hours,Moderately (3-5 applications at a time),"3 - Moderate (programming, data analysis, photo editing)","Yes, fully meets my needs",Slow rendering,Rarely (once a week or less),Frequently (3-4 hours/week),Not needed,"Fiber broadband (SLT, Dialog Fiber, etc.)",Faster processor,2-3 years ago,Gaming Laptop,Must be portable (travel frequently for work),
12/31/2024 16:30:00,IT Support/Helpdesk,,Information Technology (IT),1000+ (Enterprise),10+ years,On-site (at campus/office),Budget Laptop,16 GB,Intel,"Mid-range (i5, Ryzen 5, M1/M2)",Intel Core i5-1235U,6 cores,3.3 GHz,SATA SSD (Slower SSD),512 GB,"Integrated graphics (Intel UHD, AMD Radeon)",,Shared,Windows 11,17 inches,Single monitor/screen only,"Active Directory, TeamViewer, Helpdesk software, Office 365",Small (Under 10 MB),"LKR 150,000 - 200,000","Hardware maintenance, software installation, user training",6-8 hours,Moderately (3-5 applications at a time),"3 - Moderate (programming, data analysis, photo editing)",Partially (some tasks are slow or require workarounds),Slow rendering,Rarely (once a week or less),Occasionally (1-2 hours/week),Yes (Generator),Mobile broadband (4G/5G dongle),Faster processor,2-3 years ago,Windows Laptop,Must be portable (travel frequently for work),
10/11/2024 16:08:00,IT Support/Helpdesk,,Information Technology (IT),11-50 (Small to medium),10+ years,Hybrid,Standard Laptop,8 GB,Intel,"Mid-range (i5, Ryzen 5, M1/M2)",Intel Core i5-1235U,6 cores,3.3 GHz,SATA SSD (Slower SSD),256 GB,"Integrated graphics (Intel UHD, AMD Radeon)",,Shared,Windows 10,17 inches,Single monitor/screen only,"Active Directory, TeamViewer, Helpdesk software, Office 365",Small (Under 10 MB),"LKR 150,000 - 200,000","Hardware maintenance, software installation, user training",6-8 hours,Moderately (3-5 applications at a time),"3 - Moderate (programming, data analysis, photo editing)","Yes, fully meets my needs",RAM limitations,Rarely (once a week or less),Rarely (1-2 hours/month),No (no backup power),Mobile broadband (4G/5G dongle),GPU upgrade,1-2 years ago,Gaming Laptop,Must be portable (travel frequently for work),
02/05/2025 10:48:00,IT Support/Helpdesk,,Information Technology (IT),201-500 (Large organization),4-6 years,On-site (at campus/office),Budget Laptop,16 GB,Intel,"Mid-range (i5, Ryzen 5, M1/M2)",Intel Core i5-1235U,6 cores,3.3 GHz,NVMe SSD (Faster PCIe SSD),256 GB,"Integrated graphics (Intel UHD, AMD Radeon)",,Shared,macOS,13 inches,Triple monitors,"Active Directory, TeamViewer, Helpdesk software, Office 365",Small (Under 10 MB),"LKR 100,000 - 150,000","Hardware maintenance, software installation, user training",6-8 hours,Moderately (3-5 applications at a time),"3 - Moderate (programming, data analysis, photo editing)",No (insufficient for my needs),Slow rendering,Occasionally (2-3 times per week),Never,Yes (Generator),Mobile broadband (4G/5G dongle),GPU upgrade,2-3 years ago,Windows Laptop,"No, can be stationary",
07/18/2024 13:33:00,IT Support/Helpdesk,,Information Technology (IT),1-10 (Small business/Startup),1-3 years,On-site (at campus/office),Desktop PC (Standard),8 GB,Intel,"Mid-range (i5, Ryzen 5, M1/M2)",Intel Core i5-13500H,8 cores,3.0 GHz,SATA SSD (Slower SSD),256 GB,"Integrated graphics (Intel UHD, AMD Radeon)",,Shared,Windows 10,24 inches (external monitor),Triple monitors,"Active Directory, TeamViewer, Helpdesk software, Office 365",Small (Under 10 MB),"LKR 100,000 - 150,000","Hardware maintenance, software installation, user training",8-10 hours,Moderately (3-5 applications at a time),"3 - Moderate (programming, data analysis, photo editing)",No (insufficient for my needs),Slow rendering,Frequently (multiple times daily),Frequently (3-4 hours/week),Yes (Generator),"Fiber broadband (SLT, Dialog Fiber, etc.)",GPU upgrade,2-3 years ago,Desktop PC (Tower/Standard),Preferred portable but not critical,
11/02/2024 21:57:00,IT Support/Helpdesk,,Information Technology (IT),1000+ (Enterprise),Less than 1 year,Hybrid,Standard Laptop,16 GB,AMD,"Mid-range (i5, Ryzen 5, M1/M2)",AMD Ryzen 5 5600,6 cores,3.0 GHz,NVMe SSD (Faster PCIe SSD),512 GB,"Integrated graphics (Intel UHD, AMD Radeon)",,Shared,macOS,15 inches,Dual monitors,"Active Directory, TeamViewer, Helpdesk software, Office 365",Small (Under 10 MB),"LKR 150,000 - 200,000","Remote support, ticketing, system troubleshooting",8-10 hours,Moderately (3-5 applications at a time),"3 - Moderate (programming, data analysis, photo editing)",No (insufficient for my needs),RAM limitations,Rarely (once a week or less),Occasionally (1-2 hours/week),Not needed,Mobile broadband (4G/5G dongle),RAM upgrade,More than 3 years ago,Windows Laptop,Must be portable (travel frequently for work),
